national_number	description
203	A quadrupedal, giraffe-like creature. Its front half is yellow with brown spots, featuring a long neck and two ossicones. Its back half is dark brown and has a separate, small, sentient head with sharp teeth on its tail.
204	A creature that resembles a green, bagworm-covered pinecone. It has a bumpy, conical shell and two large, round, white eyes that peer out from the shell.
205	A large, spherical, steel-gray creature resembling a fortress. Its body is a hardened, bumpy shell with several cannon-like tubes protruding from it. Its red, inner body is barely visible from the central opening.
206	A small, chubby, serpentine creature with a yellow body and blue-green stripes on its back. It has a pair of small, white, feathery wings, closed eyes, and a drill-like tail.
207	A purple, bat-scorpion hybrid creature. It glides on wing-like membranes between its arms and legs. It has large, pincer-like claws, a long tail with a stinger, and a large, lolling tongue.
208	A colossal, serpentine creature made of interconnected, silver-gray, metallic segments. It has a massive, rugged jaw with large, bolt-like protrusions on its sides and piercing red eyes.
209	A small, bipedal, pink, bulldog-like creature. It has a perpetually grumpy expression, a prominent underbite with fangs, and a frilly, dress-like marking on its lower body.
210	A large, bipedal, purple bulldog with a very intimidating appearance. It has a massive lower jaw with two huge, protruding fangs and a powerful, muscular build.
211	A spherical, blue, pufferfish-like creature. Its body is covered in sharp, light-colored spikes. It has large, pink lips and wide, expressive eyes.
212	A bipedal, insectoid creature covered in a sleek, metallic red exoskeleton. It has two massive pincers that have yellow-and-black, eye-like markings on them. It has two thin, transparent wings on its back.
213	A small, yellow, worm-like creature residing within a very hard, red, porous shell. Its head and limbs can protrude from the various holes in its turtle-like shell.
214	A large, bipedal, blue rhinoceros beetle. It has a powerful, humanoid build, sharp claws, and a single, massive, forked horn on its forehead used for lifting and throwing.
215	A sleek, bipedal, weasel-like creature with dark, bluish-black fur. It has a red feather for its left ear and a fan of three red feathers for a tail. It has long, sharp, white claws and a yellow gem on its forehead.
216	A small, bipedal bear cub with brown fur. It has a distinctive, cream-colored, crescent-moon-shaped marking on its forehead and round ears.
217	A large, bipedal bear with shaggy brown fur and a powerful, bulky build. It has a large, yellow, circular ring pattern on its belly and broad, powerful shoulders.
218	A creature composed entirely of living magma. It has a slug-like body of bright orange, molten lava that constantly drips. It has large, round, yellow eyes that emerge from the magma.
219	A large snail made of magma. Its body is a slug-like mass of molten rock, and its shell is a large, gray, hardened-lava boulder with holes from which flames erupt.
220	A small, quadrupedal creature resembling a piglet, covered in thick, shaggy, brown-and-tan striped fur that obscures its legs. It has a large, pink, pig-like snout and closed, slit-like eyes.
221	A large, quadrupedal wild boar covered in thick, shaggy brown fur. It has two large, curved, ivory-colored tusks, and its eyes are completely hidden beneath its fur.
222	A small, aquatic creature resembling a chunk of pink coral. It has a rounded body with four stubby legs and a branching, white coral growth on its back. It has a simple, cheerful face.
223	A small, light-blue, fish-like creature resembling a remora. It has a sleek, torpedo-shaped body, a single horn-like fin on its head, and large, dark eyes.
224	A red, octopus-like creature with a round head and eight tentacles. It has a yellow, suction-cup-like snout, yellow rings around its large eyes, and a hard, bumpy head.
225	A bipedal, penguin-like bird with red plumage. It has a white, hollow tail that it carries like a sack. Its face is framed by a white, beard-like pattern of feathers.
226	A very large, manta ray-like creature. It has a blue top side, a light-colored underside, and two long, wing-like fins. It has two long, antenna-like protrusions on its head and is often seen with a Remoraid attached to a fin.
227	A bipedal, avian creature covered head-to-tail in metallic, silver-colored armor. Its wings are like sharp, steel blades, and its tail is a collection of jagged, blade-like feathers.
228	A quadrupedal, canine creature with black fur. It has a reddish-orange underbelly and snout. It has bony, white, rib-like protrusions on its back and a small, skull-like marking on its forehead.
229	A large, slender, Doberman-like canine with black fur and a reddish-orange snout and underbelly. It has two large, curved, gray horns on its head and a long, devil-like, arrow-tipped tail.
230	A large, majestic, blue sea dragon. It has a powerful build, a long, tube-like snout, and intricate, coral-like crests on its head. It has small, fin-like wings on its back.
231	A small, light-blue, elephant calf-like creature. It has large, floppy ears with red pads on them, a short but functional trunk, and a short, stubby tail.
232	A large, quadrupedal, gray elephant armored with a thick, tire-like, black hide around its back and head. It has long, sharp, white tusks and can curl into a powerful rolling wheel.
233	A digital creature with a smooth, rounded, bird-like body. It is primarily red and blue, with a duck-like head and beak. It looks sleeker and more streamlined than its predecessor, like a child's toy.
234	A quadrupedal, deer-like creature with light brown fur. Its most notable feature is its large, brown antlers, which have two large, black, eye-like orbs at their center.
235	A bipedal, beagle-like creature with white and brown fur. It has a long tail that ends in a brush-like tuft, which secretes a colored paint-like fluid. It wears a green, beret-like growth on its head.
236	A small, humanoid creature with a pinkish-purple body and a brown, shorts-like pattern on its lower half. Its head has three rounded, blunt prongs. It has a scrappy, energetic appearance.
237	A brown, humanoid creature that perpetually spins on a large, metallic spike on its head like a spinning top. Its legs are long and powerful, used for kicking while it rotates.
238	A small purple creature with a kiss-like mouth. Has large black eyes, blonde hair, and psychic abilities. Ice/Psychic-type with a cute expression.
239	A small, yellow, bipedal creature with a shape resembling an electrical plug. It has two long antennae on its head, black stripes on its body, and a black, lightning-bolt-shaped marking on its chest.
240	A small, pinkish-red, pot-bellied creature with a simple, round body. It has a yellow, flame-like crest on its forehead and a lump on its back. Its body appears to be made of warm, soft magma.
241	A bipedal, bovine creature with a predominantly pink body and black, patch-like spots. It has a thick tail, small horns, a yellow bell around its neck, and a prominent udder.
242	A very large, pink, ovoid creature with a gentle expression. It has small, curled, wing-like appendages on its sides, a pouch on its belly containing a single egg, and curled tufts of "hair" on its head.
243	A large, quadrupedal, yellow, feline legendary creature resembling a saber-toothed tiger. It has black stripes, a mask-like, white-and-blue plate covering its face, and a long, flowing, purple mane on its back that resembles a storm cloud.
244	A large, quadrupedal, brown, canine legendary creature with a powerful, mastiff-like build. It has a gray, crown-like crest on its head that resembles smoke stacks, gray plates on its back, and white, shaggy fur around its neck.
245	A sleek, quadrupedal, light-blue, canine legendary creature with a graceful appearance. It has a large, hexagonal, cyan crest on its forehead and two long, white, ribbon-like streamers flowing from its back. It has white, diamond-shaped spots on its body.
246	A small, bipedal, reptilian creature with teal-green skin. It has a large, fin-like horn on top of its head, a red, diamond-shaped patch on its belly, and small, stubby arms.
247	A creature encased in a hard, gray, chrysalis-like shell. The shell is bumpy and segmented, with triangular openings that reveal its glowing red eyes inside. It has several short spikes protruding from its body.
248	A massive, bipedal, dinosaur-like creature with a tough, dark-green, armored hide. It has a series of large spikes on its back and tail, a purple, diamond-patterned plate on its belly, and a powerful, jagged jaw.
249	A colossal, draconic, bird-like creature with smooth, white-and-silver skin. It has a long neck, a blue underbelly, and massive, hand-like wings. It has two blue, fin-like plates running down its back and a blue, mask-like structure around its eyes.
250	A majestic, phoenix-like avian creature with brilliant golden and crimson plumage. It has a prominent, green-feathered crest on its head, a green band on its neck, and massive wings with green-tipped feathers.
251	A small, green, pixie-like creature with a round head and large, blue-tipped antennae. It has large, light-blue eyes ringed with black, and a pair of small, transparent wings on its back. It has pointed, elf-like feet.
252	A small, green, gecko-like reptile. It is bipedal, with a large, thick, green tail. It has yellow eyes with long pupils and a darker green stripe on its stomach.
253	A bipedal, gecko-like creature with a lean, green body. It has a large, crest-like leaf on its head, and three large, sharp leaves for a tail. It has yellow, orb-like nodules on its arms.
254	A tall, slender, bipedal gecko with a sleek, green body. It has two sharp, leaf-like blades growing from its wrists, a large, fern-like tail, and a crest of leaves on its head. Yellow, seed-like orbs grow on its back.
255	A small, bipedal, chick-like creature with fluffy, orange feathers. It has two tiny wings, a small, yellow crest of feathers on its head, and a powerful beak.
256	A bipedal, adolescent, chicken-like creature with orange and yellow feathers. Its arms are now more wing-like with three sharp claws. It has a prominent, three-plumed crest on its head and powerful, clawed legs.
257	A tall, humanoid, rooster-like creature with a powerful, athletic build. Its lower body is red, while its upper body is cream-colored. It has long, shaggy white hair, sharp talons, and can emit flames from its wrists and ankles.
258	A small, quadrupedal, amphibious creature, primarily light blue, resembling an axolotl. It has a large, dark blue fin on its head, two large, orange, spiky gills on its cheeks, and a large, flat, dark blue tail fin.
259	A bipedal, amphibious creature with a stocky, muscular build. It has a dark blue body with a light blue underbelly. It has a large, dark blue head-fin, two fin-like crests on its back, and prominent, orange, three-pronged gills.
260	A massive, bulky, bipedal amphibious monster. It has a dark blue body with a white underbelly, and a powerful, muscular frame. It has large, gray fins on its back and tail, and two large, fan-like, orange gills on its cheeks.
261	A small, quadrupedal, hyena-like creature with shaggy, gray fur and a black mane. It has a perpetually snarling expression with visible fangs, and red, piercing eyes.
262	A large, quadrupedal, hyena-like creature with a sleek body covered in long, black and gray fur. It has a large, black mane, piercing red eyes, and a powerful, intimidating posture.
263	A small, quadrupedal creature resembling a raccoon, with brown and cream-colored fur. It has a black, mask-like pattern around its eyes and moves in a distinct, zigzagging pattern. Its fur is bristly.
264	A long, slender, quadrupedal creature resembling a ferret or badger. It has a sleek, white-and-brown-striped body, sharp claws, and is built for incredible speed in a straight line.
265	A small, pinkish-purple caterpillar with a spiky body. It has large, yellow, ringed eyes, a small horn on its head, and a larger, pointed stinger on its tail.
266	A cocoon-like creature covered in white, silky threads. It is a round, white pupa with several sharp spikes protruding from its body. Two large, red eyes peer out from an opening in the silk.
267	A beautiful, butterfly-like creature with large, colorful wings. Its wings are primarily yellow and black, with red and blue spots. It has a slender, black body, large, green compound eyes, and long, black antennae.
268	A dense, purple, cocoon-like creature wrapped tightly in silk. It has a tough, hardened casing with several blunt spikes. Four small, red eye-holes are visible on its front.
269	A moth-like creature with a venomous appearance. It has angular, purple-and-green wings covered in a toxic dust. It has large, red compound eyes and a pair of long, feathery, green antennae.
270	A small, blue, quadrupedal creature that resembles a lily pad with legs. It has a large, green lily pad on its head that looks like a wide-brimmed hat. It has a yellow, duck-like bill.
271	A bipedal, platypus-like creature with a blue body and a green, sombrero-like lily pad on its head. It has a lighthearted appearance and is often seen with its hands held up.
272	A large, bipedal creature resembling a pineapple-duck hybrid. It has a green, poncho-like body, a stout yellow lower body, and a wide, sombrero-like lily pad on its head. It has a cheerful and festive look.
273	A small, bipedal creature resembling an acorn. It has a brown, acorn-cap-like head with a single spike, and a yellow body. It has small, black eyes and two stubby feet.
274	A bipedal creature with a dark, pointed, goblin-like body and a long, pointed nose. Its hands are large and white with three fingers. It has a green, leafy cape on its back.
275	A tall, lanky, scarecrow-like creature with a tan, wooden-looking body. It has a long, pointed nose, shaggy white hair, and two large, fan-like leaves for arms. Its feet resemble traditional Japanese geta sandals.
276	A small, avian creature resembling a swallow. It has dark blue plumage on its back, a white underbelly, and a red patch on its face. It has a forked tail with two long, red-tipped feathers.
277	A large, sleek, swallow-like bird with dark blue and white plumage. It has a confident and determined expression, a sharp crest on its head, and a long, forked tail with red markings.
278	A white, gull-like seabird. It has a long, yellow beak with a black tip, and long, blue-tipped wings. It has thin, orange legs and feet.
279	A large, pelican-like seabird. Its most prominent feature is an enormous, deep, yellow lower beak which it uses to scoop up water and prey. It has a white body and blue-and-black wings.
280	A small, humanoid creature with a white body and a green, bowl-cut-like hairstyle. It has large, red eyes and a red, horn-like protrusion on its chest that sticks out. Its legs are thin and spindly.
281	A slender, graceful, humanoid creature in a white, ballerina-like dress. It has a green, bob-cut hairstyle with two red, fin-like horns protruding from the front and back. It moves with elegance.
282	A tall, elegant, humanoid creature with a flowing, white gown-like body. It has green "hair" and a red, blade-like crest that runs through its chest. It has a graceful and serene presence.
283	A small, aquatic insect resembling a pond skater. It has a blue, spherical head with red eyes, and a small, yellow body. Four long, thin legs allow it to skate across the surface of water.
284	A large, intimidating, bug-like creature with four large, wing-like appendages that have eye-like patterns on them. It has a sharp, pointed head with red, menacing eyes and a sleek, black-and-green body.
285	A small, bipedal, mushroom-like creature with a green, spotted, toadstool cap for a head. It has a beige body, small, black eyes, and stubby arms.
286	A bipedal, kangaroo-like creature with a mushroom cap for a head. It has a powerful, athletic build, with a green, spotted cap, a beige body, and green, orb-like claws. Its tail is thick and powerful.
287	A large, sloth-like creature with shaggy, white fur and a lazy, dopey expression. It has long arms with sharp claws and brown rings around its eyes. It is almost always seen lounging.
288	A bipedal, ape-like creature with shaggy white fur and a hyperactive, energetic look. It has a large, red, ruff of fur around its neck, and its pupils are small and frenetic.
289	A massive, bipedal creature resembling a giant sloth. It has shaggy, white-and-brown fur, a huge, powerful build, and a perpetually lazy and relaxed expression on its face. It lies on its side.
290	A cicada-larva-like insectoid. It is a small, white, grub-like creature with six small legs and large, red eyes. It lives underground.
291	A large, cicada-like insectoid with a sleek, black body and large, transparent wings. It has a prominent, halo-like ring above its head and large, green, compound eyes.
292	The ghostly, hollowed-out shell of a cicada. It is a brown, fragile-looking husk with a vacant expression and a halo floating above its head. A large, open hole is visible on its back.
293	A small, pink, bipedal creature with a round body. It has a large mouth that is perpetually open as if shouting. It has circular, yellow-ringed ears and two small, yellow, plus-and-minus-shaped markings for eyes.
294	A bipedal, purple creature with a stocky build. It has two large, tube-like ears that it uses to amplify sound. Its mouth is large and has two visible fangs.
295	A massive, bulky, bipedal creature with a huge, gaping mouth. Its body is covered with various sound-emitting organs, including four large chimney-like tubes on its back and a pipe-organ-like tail.
296	A small, bipedal, humanoid creature with a stout, round body. It has a tan-colored body with a black, skirt-like marking. Its hands are large and three-fingered, and it has a top-knot-like hairstyle.
297	A massive, bipedal, sumo-wrestler-like creature. It has a huge, powerful build with a large belly and thick, pillar-like legs. It wears a black, mawashi-like garment. Its hands are open and ready for combat.
298	A small, blue, spherical creature that stands on a springy, zig-zag tail with a large, blue orb at the end. It is a baby version of Marill, with a cheerful but often crying expression.
299	A blue, stone-like creature with a triangular body and stubby feet. Its most prominent feature is a huge, red, magnetic nose that always points north. It has small, beady eyes.
300	A small, feline creature with sleek, purple fur and a mischievous, grinning expression. It has a large, crescent-shaped, yellow crest on its head and a tuft of fur on its chest.
301	An elegant, quadrupedal, feline creature with sleek, purple-and-cream fur. It has a fluffy, purple ruff around its neck and a long tail that resembles a pincushion.
302	A small, bipedal, gremlin-like creature with dark purple skin. It has a hunched posture, sharp claws, and most notably, large, multifaceted, crystalline gems for eyes.
303	A small, bipedal, yellow creature with a demure appearance from the front. On the back of its head is a massive, black, carnivorous jaw with sharp teeth and a single long strand of hair, acting like a ponytail.
304	A small, quadrupedal, creature covered in a heavy, metallic, gray shell-like armor. It has bright blue eyes that peer out from under its helmet-like head.
305	A larger, bulkier, bipedal version of its pre-evolution. It is covered in segmented, steel-gray armor plates with sharp edges. Its head is encased in a metallic helmet.
306	A massive, bipedal, dinosaur-like creature covered from head to toe in thick, silver-colored, metallic armor plating. It has a powerful build, numerous sharp horns and spikes on its head and back, and piercing blue eyes.
307	A small, blue, humanoid creature that sits in a meditative pose. Its head is large and white with two bulbous growths on top, resembling a turban. It has stout legs and a calm expression.
308	A tall, slender, humanoid creature with a graceful, yoga-like posture. Its lower body consists of large, pink, baggy pants-like growths. Its head has two large, pink, teardrop-shaped appendages.
309	A small, quadrupedal, canine-like creature with green fur. It has a very angular build, a yellow mane on its back, and a short, yellow-tipped tail.
310	A large, sleek, blue, canine creature built for speed. Its most prominent feature is a massive, jagged, lightning-bolt-shaped mane of yellow fur that covers its head and back.
311	A bipedal, cream-colored, rodent-like creature with long, rabbit-like ears. It has red markings, red cheek pouches shaped like a plus sign, and a tail tipped with a red plus sign.
312	A bipedal, cream-colored, rodent-like creature with short, floppy ears. It has blue markings, blue cheek pouches shaped like a minus sign, and a tail tipped with a blue minus sign.
313	A bipedal, firefly-like insectoid with a dark body. It has a purple face, a red-and-yellow collar, and a single, large, glowing, spherical tail used for light displays.
314	A bipedal, firefly-like insectoid with a dark body. It has a purple face, a yellow, coat-like marking around its neck and waist, and a soft, glowing light around its small tail.
315	A small, bipedal, plant-like creature. It has a green body, a leafy collar, and two large, beautiful roses, one red and one blue, in place of hands. It has three sharp thorns on its head.
316	A small, amorphous, green creature shaped like a pouch. Its body is mostly a stomach, with a large, puckered mouth with yellow lips. A single, curved, yellow feather-like antenna is on its head.
317	A massive, amorphous, purple blob. It has a huge, gaping mouth with long, yellow, mustache-like whiskers. Its body is soft and gelatinous with dark, diamond-shaped markings.
318	A small, vicious, piranha-like fish. Its upper half is blue, and its lower half is red with a rough, sandpaper-like texture. It has a massive jaw filled with sharp teeth.
319	A creature that resembles the front half of a shark, with no tail. Its body is sleek and torpedo-shaped, with a blue top and white underside. It has a yellow star marking on its snout and rough, abrasive skin.
320	A large, spherical, whale-like creature with bright blue skin. It has a perpetually smiling mouth, small fins, and two blowholes on its back. It resembles a giant, buoyant ball.
321	A colossal, zeppelin-like whale, the largest of all Pokémon. It has a long, blue body with a grooved, white underbelly. It has four small, white fins and a massive, horizontal tail.
322	A small, quadrupedal camel with a droopy, yellow body and a vacant expression. It has a single, green, volcano-like hump on its back that contains magma.
323	A large, quadrupedal camel with a red, shaggy coat and three blue rings on each flank. It has two prominent, volcano-like humps on its back that regularly smoke and can erupt.
324	A large, quadrupedal tortoise with wrinkled, brown skin. Its shell is black and hollow, resembling a furnace, with several openings that constantly billow smoke and embers.
325	A small, gray, pig-like creature that constantly bounces on its coiled, spring-like tail. It has a pink, pearl-like orb balanced on its head.
326	A large, bipedal, pig-like creature with a purple and black body. It has a large, jiggly belly, a powerful psychic stance, and three black pearls: one on its forehead and one on each hand.
327	A bipedal, panda-like creature with a dizzy, stumbling gait. It has cream-colored fur with unique, swirling, red spot patterns all over its body, and its eyes are depicted as swirls.
328	A small, insectoid creature with a massive, orange, spherical head and a tiny body. Its primary feature is its powerful, disproportionately large jaws capable of crushing rock.
329	A thin, green, dragonfly-like insectoid. It has two large, translucent, diamond-shaped wings, and its large eyes are covered by red, goggle-like membranes.
330	A large, bipedal, draconic insectoid with a sleek, green body. It has large, diamond-shaped wings that create a sandstorm when flapped, and its eyes are protected by large, red, goggle-like covers.
331	A small, bipedal, cactus-like creature. It has a round, green, spiky body, dark green, club-like arms, and a yellow, flowering growth on its head.
332	A tall, bipedal, scarecrow-like cactus creature with a dark green, spiky body. It has a ragged, triangular, hat-like crest on its head and glowing, diamond-shaped, yellow eyes.
333	A small, blue, bird-like creature. Its body is mostly enveloped by two massive, fluffy, cloud-like wings that feel like soft cotton. Its small, blue head peeks out from the top.
334	A large, serpentine, blue bird whose body is almost completely covered in a massive, elegant, cloud-like plumage. It has a long, graceful neck, a crest of feathers on its head, and a flowing, cloudy tail.
335	A quadrupedal, mongoose-like creature with a fierce rivalry stance. It is covered in thick, white fur with prominent, jagged, red, scar-like markings on its body. It has long, sharp, black claws.
336	A large, serpentine, black creature. Its body is adorned with yellow, hexagonal markings and large, purple, scar-like patterns. It has a pair of long, red fangs and a sharp, blade-like tail.
337	A levitating, crescent-moon-shaped creature made of craggy, beige-colored rock. It has a single, large, unblinking red eye in the center of its body.
338	A levitating, sun-shaped creature made of craggy, orange-colored rock. Its body is spherical with rocky spikes radiating outwards. It has a stern expression with two squinting eyes.
339	A small, catfish-like creature with a smooth, grayish-blue, slimy body. It has a black, zigzagging line down its side and two long, blue whiskers.
340	A large, blue catfish with a huge, gaping mouth and a perpetually dopey, smiling expression. It has long, yellow whiskers and a yellow "W" shaped marking on its forehead.
341	A small, red-and-white, crustacean-like creature. It has a scrappy look, large, powerful pincers, and a yellow, star-shaped crest on its head.
342	A large, bipedal, lobster-like creature with a dark red and cream-colored shell. It has massive, destructive claws, a menacing posture, and a prominent, yellow, star-shaped mark on its forehead.
343	A small, clay-doll-like creature that spins and balances on a single point. Its body is brown and top-shaped, with circular, red-and-white patterns. Its eyes are perpetually closed.
344	A large, bizarre, clay-doll-like creature with a black, rotund body. Its head is a separate, floating piece that rotates around its body, and it has multiple, glowing red eyes arranged in a ring.
345	A prehistoric, plant-like creature from a fossil. It has a purple, stalk-like body rooted to a spot, with a cup-shaped head from which eight pink, petal-like tentacles emerge. Two yellow eyes glow from within the head.
346	A large, bizarre, plant-monster with a long neck and a saucer-like body that allows it to move. Its head has eight large, pink tentacles, and it has a heavy, suction-cup-like base.
347	A prehistoric, arthropod-like creature from a fossil. It resembles an ancient shrimp, with a gray, segmented body, two large, white, feathery fins on its sides, and two large, stalked eyes.
348	A large, bipedal, prehistoric arthropod with a tough, black-and-blue armored exoskeleton. It has two massive, sharp claws, and two large, feathered wings on its back.
349	A fish with a shabby, ugly appearance. Its body is a dull brown with dark spots, looking battered and scarred. It has ragged, blue fins and large, vacant eyes.
350	A long, serpentine, sea-dwelling creature of breathtaking beauty. It has a cream-colored body, a long, flowing, pink, fin-like crest on its head, and a spectacular, fan-like tail with blue, pink, and black patterns.
351	A small, cloud-like creature with a simple, gray, spherical head and a teardrop-shaped body. It has the ability to change its physical form and type based on the weather, becoming fiery, watery, or icy.
352	A green, bipedal, chameleon-like reptile with a curled tail. It has a distinctive, red, zigzagging stripe across its belly that remains visible even when the rest of its body turns invisible.
353	A small, ghost-like creature resembling a hand puppet. It is a hollow, gray cloth with a pointed horn on top. Its true form is a small, spherical head covered by the cloth.
354	A vengeful, animated doll with a gray, cloth body. It has a zipper for a mouth, which it keeps closed to contain its energy. It has a long, yellow, brush-like tail and mismatched, button-like eyes.
355	A floating ghost that resembles a stylized Grim Reaper. It has a black, hooded body with no visible limbs, and wears a white, skull-like mask with a single, red, glowing eye that moves between two eye sockets.
356	A bulky, mummy-like ghost, wrapped in gray, bandage-like strips of cloth. It is a cyclops, with a single, large, red eye in the center of its face. Its hands float separately from its body.
357	A massive, sauropod-like creature with a long neck and a brown, dinosaur-like body. Its most striking feature is the set of huge, green, banana-tree-like leaves on its back that function as wings, and a cluster of yellow bananas growing under its chin.
358	A small, floating, bell-like creature. It is mostly blue and hollow, with a yellow, suction-cup-like appendage on its head. It has a long, patterned tail with a red orb at the end.
359	A majestic, quadrupedal, mammalian creature with pure white fur and dark gray skin. It has a sharp, sickle-shaped horn on the right side of its head, a long, fluffy tail, and powerful, clawed feet.
360	A small, blue, bipedal creature that resembles a smaller, more cheerful version of Wobbuffet. It has two large, ear-like appendages on its head and a black tail with an eye on it.
361	A small, shivering creature that resembles a person wearing a conical, yellow, straw raincoat (a yukinko). Its true body underneath is black, and only its round, blue eyes and trembling mouth are visible.
362	A levitating, spherical head made of black rock, completely encased in jagged, formidable ice armor. It has piercing, blue, crystalline eyes and a wide mouth filled with sharp, icy teeth.
363	A perfectly spherical, seal-like creature with blue fur and white spots. It has small fore-flippers and balances on its round body, often seen clapping or rolling.
364	A larger, chubbier, seal-like creature with blue fur and a thick, white, mustache-like growth of fur around its snout. It has two small but visible white tusks.
365	A colossal, walrus-like creature with a thick, blue-gray hide. It has a massive collar of white, shaggy fur around its neck and two enormous, sharp, ivory tusks.
366	A bivalve mollusk with a hard, blue shell that has a clamp-like hinge. Its true body is the single, large, pink pearl inside, which serves as its head.
367	A long, serpentine, deep-sea fish with a light-blue body and white spots ringed with orange. It has a powerful jaw, and its tail is shaped like a small, white fish, which it uses as a lure.
368	A long, serpentine, deep-sea fish with a bright pink body. It is known for its elegance and has a very long, thin snout used to probe for food. It has two small, seashell-like growths on its chest.
369	An ancient, coelacanth-like fish brought back from extinction. Its body is a patchwork of craggy, brown, rock-like scales and tan skin, giving it a fossilized appearance.
370	A small, flat, disc-shaped fish that is perfectly heart-shaped. It has a pink body, large eyes, and a small, white mark on its cheek.
371	A small, blue, quadrupedal, reptilian creature with a very hard, gray, helmet-like skull. It has stubby arms and a powerful desire to throw itself from high places to train its head.
372	A creature almost completely encased in a hard, white, spherical, bone-like shell. It resembles a living cocoon, with its powerful blue legs and red eyes visible from openings in the armor.
373	A large, powerful, quadrupedal blue dragon. Its most defining feature is a pair of massive, red, crescent-shaped wings that have grown as a result of its intense desire to fly. It has a fierce, predatory look.
374	A levitating, robotic creature consisting of a blue, metallic, teardrop-shaped body, a single large red eye, and a sharp claw on its rear. It communicates using magnetism.
375	A robotic creature formed by the fusion of two Beldum. It has a blue, saucer-shaped body with two powerful arms, each ending in sharp claws. Its red eye is centered in its metallic body.
376	A massive, spider-like, robotic creature formed by the fusion of four Beldum. It has a huge, blue-gray body, four powerful legs, and a large, metallic cross on its face. Its red eyes give it an intimidating, intelligent look.
377	A large, humanoid golem constructed entirely of jagged, brown and gray rocks. It has a hulking, powerful build, and its face consists of a pattern of seven orange dots in an "H" shape.
378	A large, humanoid golem sculpted from solid, transparent, crystalline Antarctic ice. The ice is incredibly hard. Its face consists of a pattern of seven yellow dots in a ":" shape.
379	A large, humanoid golem made of a smooth, incredibly hard, silvery-black metallic substance. Its body is hollow. Its face consists of a pattern of seven red dots in a hexagonal pattern.
380	A sleek, draconic, jet-plane-like creature. It has a white and red body, swept-back wings, and arms that can tuck into its body for speed. It has a blue, triangular marking on its chest and gentle, yellow eyes.
381	A sleek, draconic, jet-plane-like creature, larger and more angular than its counterpart. It has a white and blue body, sharp, swept-back wings, and a red, triangular marking on its chest. It has sharp, red eyes.
382	A colossal, primordial, whale-like sea creature. Its body is deep blue and covered in intricate, red, tribal-like markings that glow when it is powered up. It has two massive pectoral fins and a bifurcated tail.
383	A colossal, primordial, bipedal dinosaur-like land creature. Its body is covered in thick, red, armor-like plates, with black, tribal-like markings that glow with magma when it is powered up. It has massive claws and a powerful tail.
384	A massive, green, serpentine sky dragon with a long, sinuous body. It has yellow, ring-like patterns running along its length, and several red-tipped, fin-like appendages. Its jaw is powerful and jagged.
385	A small, humanoid creature with a silver, star-shaped head and two yellow, paper-tag-like streamers. It has a white body, stubby arms and legs, and a third, "true eye" on its stomach that is usually closed.
386	An alien virus that mutated into a Pokémon. Its primary form is a sleek, bipedal creature with an orange and blue-green body, two tentacle-like arms, and a purple, crystalline organ in its chest. It can alter its form for attack, defense, or speed.
387	A small, quadrupedal, turtle-like creature with light green skin and a yellow jaw. A small, green seedling with two leaves sprouts from its head, which is covered by a patch of hard, brown soil.
388	A larger, bulkier, quadrupedal turtle. The seedling on its back has grown into a small, sturdy bush with two yellow, berry-like flowers. Its shell is a solid plate of brown earth.
389	A colossal, quadrupedal tortoise of immense size and weight. A living, miniature ecosystem, including a large, solitary tree, grows upon the shell on its back. Its face is craggy and mountain-like.
390	A small, bipedal, chimpanzee-like creature with orange fur and a cream-colored belly. Its tail is a constantly burning flame, and it has a distinctive red patch on its rump.
391	A bipedal, monkey-like creature with an energetic, martial-arts stance. It has white fur on its torso, orange limbs, and blue and red markings on its face. The flame on its tail is larger and more intense.
392	A tall, slender, humanoid ape with a fiery, acrobatic appearance. It has a crown of fire on its head, white fur, brown limbs, and golden, armor-like plates on its shoulders, chest, and knees.
393	A small, penguin chick with a proud personality. It has a light blue body, a dark blue head that extends down its back like a cape, and two white, button-like spots on its chest.
394	An adolescent penguin with a sleek, dark blue body. It has sharp, metallic-looking edges on its wings, and a prominent, golden, trident-like crest has begun to form on its face.
395	A large, majestic, emperor penguin-like creature with a powerful and regal stance. Its wings are edged with sharp, steel-like blades, and a massive, golden, three-pronged trident grows from its face, covering its beak.
396	A small, avian creature resembling a starling. It has gray and black plumage, a white face, and a single, distinctive plume on its head that dips forward over its face.
397	A larger, more aggressive-looking starling. It has a noticeable crest of feathers on its head that is swept forward, giving it a punk-rock-like appearance. Its gaze is sharp and focused.
398	A large, powerful bird of prey with a formidable appearance. It has a massive, red-tipped, black crest that sweeps up and back like a pompadour hairstyle. It has fierce red eyes and a powerful build.
399	A small, brown, beaver-like rodent with a perpetually dopey expression. It has large front incisors, a chubby, round body, and a small, puffy, club-shaped tail.
400	A large, bipedal, beaver-like rodent with a stocky and goofy build. It has brown and cream-colored fur, prominent front teeth for gnawing, and a large, flat, black tail used for slapping mud.
401	A small, bipedal, insectoid creature resembling a cricket. It is dark gray with a red collar-like marking and has two long, black antennae that it rubs together to make music.
402	A bipedal, violin-like insectoid. It has a majestic, conductor-like appearance with long, scythe-like arms, a red body, cream-colored wings that form a cape, and a sophisticated, mustache-like facial marking.
403	A small, quadrupedal, lion-cub-like creature with blue fur. It has a star-shaped tuft of fur at the tip of its black tail and a tuft of black fur on its head. Its front paws are disproportionately large.
